No.;Wilayah;Jumlah Kejadian;Meninggal;Terluka;Menderita;Mengungsi;Rusak Berat;Rusak Sedang;Rusak Ringan;Terendam
1;Aceh;945;150;1393;738705;580495;1317758;985941;1122634;776703
2;Sumatera Utara;469;64;112;288564;1152879;1510;1477;1357687;752181
3;Sumatera Barat;570;15;35;1300706;1334;143;186;420;550313
4;Riau;229;12;36;1597291;31345;398;769;1273106;244662
5;Jambi;226;5;13;541614;135115;473;467;1147;92749
6;Sumatera Selatan;384;17;30;404384;346206;223;120;389;1360185
7;Bengkulu;102;8;16;148757;482;405;594;2327;1048883
8;Lampung;152;1;7;794908;100599;570;233;1682;111096
9;Kepulauan Bangka Belitung;191;10;52;384614;1724104;42;95;1403;67194
10;Kepulauan Riau;115;2;5;12722253;169942;83;100;768;538176
11;DKI Jakarta;121;53;55;1148694;252611;209;107;556;1394964
12;Jawa Barat;2613;80;87;476667;113039;39158;32034;182429;124596
13;Jawa Tengah;4216;130;107;2341;31263;484;821;94442;616294
14;Daerah Istimewa Yogyakarta;212;8;13;112754;118925;18;113;181;668528
15;Jawa Timur;1957;26;64;1072344;440321;444;588;137524;30862
16;Banten;451;12;20;775604;426579;392;166;340;28126
17;Bali;339;2;8;123721;734535;267;201;612401;1065526
18;Nusa Tenggara Timur;318;9;1731;858824;428792;769;510;135172;292401
19;Nusa Tenggara Barat;272;5;6;43421;246791;256;205;616401;545526
20;Kalimantan Barat;306;10;267;481185;1177027;100;44;648;1039658
21;Kalimantan Tengah;289;5;16;1417773;1732;183;108;347;389815
22;Kalimantan Selatan;528;7;7;94119;327492;164;84;447;24497
23;Kalimatan Timur;430;9;16;530913;977166;536;774;1008;1084303
24;Kalimantan Utara;115;11;7;853006;31;18;44;68;957
25;Sulawesi Utara;117;15;0;661815;18203;69;76;127;548291
26;Sulawesi Tengah;119;3;4;595788;838;33;8;38;729
27;Sulawesi Selatan;641;23;49;416674;1098949;114;315;884;533675
28;Sulawesi Tenggara;102;5;12;7948;206361;77;57;109;378015
29;Gorontalo;88;9;19;1676245;2547;12;17;123;967312
30;Sulawesi Barat;55;0;9;606209;660;69;101;151;500
31;Maluku;99;2;17;847;568;276;703;747;252
32;Maluku Utara;96;6;20;758684;751;126;138;172;274447
33;Papua;37;6;16;74465;420;112;21;134;273
